S.No,Name,Code
1,NIFTY,NIFTY
2,AUTO,CNXAUTO
3,BANK,BANKNIFTY
4,COMMODITIES,CNXCOMMODITIES
5,CONSUMERDURABLES,NIFTY_CONSR_DURBL
6,CONSUMPTION,CNXCONSUMPTION
7,ENERGY,CNXENERGY
8,FINANCE,CNXFINANCE
9,FMCG,CNXFMCG
10,HEALTHCARE,NIFTY_HEALTHCARE
11,INFRA,CNXINFRA
12,IT,CNXIT
13,MEDIA,CNXMEDIA
14,METAL,CNXMETAL
15,MIDSMALLHEALTHCARE,NIFTY_MIDSML_HLTH
16,OILGAS,NIFTY_OIL_AND_GAS
17,PHARMA,CNXPHARMA
18,PSE,CNXPSE
19,PSUBANK,CNXPSUBANK
20,REALTY,CNXREALITY
21,SERVICE,CNXSERVICE
22,PRIVATEBANK,NIFTYPVTBANK
